Restaurant Name,Rating,Cuisine,Average Cost for Two,City,Address,Latitude,Longitude
Aslii Zaika,4.1,"Mughlai, North Indian, Biryani, Desserts, Chinese, Fast Food",₹700 for two,Kota,"Dhanmandi, Kota",25.1557149594,75.8602711558
Cake Corner,4.0,"Bakery, Desserts, North Indian",₹400 for two,Kota,"Dadabari, Kota",25.1750730000,75.8546280000
McDonald's,4.0,"Burger, Fast Food, Beverages, Coffee",₹350 for two,Kota,"Indraprastha Industrial Area, Kota",25.1376040000,75.8551250000
Cake Factory,4.0,"Sandwich, Fast Food",₹200 for two,Kota,"Chawani, Kota",25.1750730000,75.8546280000
Domino's Pizza,3.9,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Kota,"Talwandi, Kota",25.1492100000,75.8524500000
Burger King,4.2,"Burger, Fast Food, Beverages",₹350 for two,Kota,"City Mall, Indraprastha Industrial Area, Kota",25.1377606000,75.8550128000
Morgans The Italian Pizzeria,3.1,"Pizza, Coffee, Beverages, Italian, Burger, Cafe, Fast Food, Continental",₹900 for two,Kota,"Ladpura, Kota",25.2059440000,75.8315530000
KFC,4.1,"Burger, Fast Food, Biryani, Desserts, Beverages",₹450 for two,Madurai,"SS Colony, Madurai",9.9170652944,78.0943095312
Domino's Pizza,4.3,"Pizza, Italian, Pasta, Fast Food, Desserts",₹500 for two,Madurai,"SS Colony, Madurai",9.9199719566,78.0932309479
Dindigul Thalappakatti,4.1,"Biryani, BBQ, South Indian, Chinese, North Indian, Sichuan",₹500 for two,Madurai,"KK Nagar, Madurai",9.9364259325,78.1435723230
Bistro 1427,4.1,"North Indian, Italian, Shake",₹700 for two,Madurai,"Kamarajar Salai, Madurai",9.9132906573,78.1446716934
The Sandwich World,3.4,"Sandwich, Fast Food, Momos, Chinese, Wraps, Shake, Beverages",₹400 for two,Madurai,"SS Colony, Madurai",9.9281553000,78.0975711000
Kumar Mess,4.4,"North Indian, South Indian, Mughlai, Biryani",₹500 for two,Madurai,"KK Nagar, Madurai",9.9325630114,78.1343626231
Zaitoon,4.9,"Arabian, South Indian, North Indian, Lebanese, Kebab, Chinese, Desserts, Beverages",₹500 for two,Madurai,"Sathamangalam, Madurai",9.9225770649,78.1487583742
Shawarmaa Hunt,3.6,"Lebanese, South Indian, Beverages",₹300 for two,Madurai,"KK Nagar, Madurai",9.9493360207,78.1468027085
Smoke Hub Barbeque,4.1,"Chinese, Kebab, South Indian, Seafood, North Indian, Mughlai, Fast Food, Salad","₹1,500 for two",Madurai,"SS Colony, Madurai",9.9287644444,78.0954092368
The Drowning Street,4.3,"North Indian, Chinese, Continental, Fast Food, Desserts, Beverages","₹1,700 for two",Lucknow,"Gomti Nagar, Lucknow",26.8656910123,81.0126075894
The Chocolate Room,4.1,"Bakery, Cafe, Coffee, Salad, Italian, Fast Food, Chinese, Mexican",₹900 for two,Lucknow,"Hazratganj, Lucknow",26.8519796000,80.9415267000
Masaki Cafe Couture,4.3,"Bakery, Italian, Mexican, Fast Food, Asian, Desserts, Juices, Beverages","₹1,200 for two",Lucknow,"Hazratganj, Lucknow",26.8538070000,80.9366530000
Tickled Pink,4.5,"North Indian, Continental, Thai, Pizza, Turkish, Desserts, Beverages, Coffee","₹2,000 for two",Lucknow,"Gomti Nagar, Lucknow",26.8661607000,81.0075487000
Black Brew House,4.2,"North Indian, Continental, Italian, Asian, Fast Food, Beverages, Desserts","₹1,400 for two",Lucknow,"Summit Building, Gomti Nagar, Lucknow",26.8649104692,81.0119774681
Boombox Bar Xchange,4.3,"North Indian, Chinese, Continental, Asian, Biryani, Italian, Desserts, Beverages","₹2,000 for two",Lucknow,"Summit Building, Gomti Nagar, Lucknow",26.8647360000,81.0119540000
Molecule Air Bar,4.4,"North Indian, Continental, Asian, Finger Food, Desserts, Beverages","₹1,800 for two",Lucknow,"Riverside Mall, Gomti Nagar, Lucknow",26.8528255570,80.9729165956
MERAKI the Bistro,New,"North Indian, Chinese, Italian, Pizza, Continental, Biryani, Desserts, Bar Food","₹1,600 for two",Lucknow,"Gomti Nagar, Lucknow",26.7828135000,80.9906172000
Bigg Daddy,4.3,"North Indian, Mughlai, Continental, Chinese, Italian, Kebab, Biryani, Fast Food","₹2,000 for two",Lucknow,"Cyber Heights, Gomti Nagar, Lucknow",26.8676938000,81.0100050000
Barbeque Nation,4.3,North Indian,"₹1,450 for two",Manipal,"Vidyaratna Nagar, Manipal",13.3492806649,74.7826728970
Vito's Pizzeria & Cafe,3.7,"Pizza, Italian, Desserts",₹500 for two,Manipal,"Tiger Circle, Manipal",13.3524423717,74.7886324202
Planet Cafe,3.7,"North Indian, Street Food, Burger, Cafe, Biryani, Shake, Sichuan",₹500 for two,Manipal,"Shivalli, Manipal",13.3592417080,74.7845176498
Domino's Pizza,4.1,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Manipal,"Vidyaratna Nagar, Manipal",13.3470000000,74.7880000000
Hotel Chavadi,3.9,"South Indian, North Indian, Chinese, Fast Food, Biryani, Ice Cream, Desserts, Beverages",₹800 for two,Udupi,"Ambalpadi, Udupi",13.3360715000,74.7362338000
Hotel Pancharatna Paradise,3.9,"North Indian, Chinese, Mangalorean, South Indian",₹500 for two,Udupi,"Kinnimulki, Udupi",13.3345424000,74.7493575000
Coastal Kitchen Family Restaurant,3.7,"South Indian, Chinese, Shawarma, North Indian, Street Food, Fast Food, Ice Cream, Shake",₹600 for two,Udupi,"Maruthi Veethika, Udupi",13.3433241037,74.7479272787
Machali Restaurant,3.8,"South Indian, Mangalorean, Biryani",₹150 for two,Udupi,"Brahmagiri, Udupi",13.3364587217,74.7400108766
WarmOven Cake & Desserts,3.4,"Bakery, Desserts, Ice Cream, Shake, Beverages",₹300 for two,Udupi,"Kunjibettu, Udupi",13.3418833000,74.7597346000
The Lazy Dog,4.4,Cafe,₹800 for two,Manali,"Old Manali, Manali",32.2530812867,77.1768357977
Cafe Indic Vibes,3.4,"North Indian, Chinese, Pizza, Fast Food",₹900 for two,Manali,"Old Manali, Manali",32.2525931000,77.1792120000
The Johnson's Cafe,4.5,"Cafe, Continental","₹1,500 for two",Manali,"Old Manali, Manali",32.2474065688,77.1876286715
Johnny's Pizza,3.9,Italian,₹400 for two,Manali,"Old Manali, Manali",32.2456350000,77.1898080000
Cafe 1947,4.2,Cafe,"₹1,500 for two",Manali,"Tibetan Colony, Manali",32.2838090000,77.1803880000
